"WB1","WB2","WB3","EMVI1","EMVI2","EMVI3","EMVI4","TRUST1","TRUST2","TRUST3","TRUST4","FALSE1","FALSE2","FALSE3","PC1","PC2","PC3","PC4","FAIR1","FAIR2","FAIR3","ANX1","ANX2","ANX3","ANX4","INTER1","INTER2","INTER3","DISC1","DISC2","DISC3","AVER1","AVER2","AVER3","Gender","Age","Occupation","Transparency","Control","MC_TRANS1","MC_TRANS2","MC_TRANS3","MC_TRANS4","MC_CON1","MC_CON2","MC_CON3"
2,2,2,6,5,6,3,6,6,6,6,7,4,5,7,7,7,7,5,5,5,6,6,5,5,6,7,6,7,6,5,29,68,48,1,22,2,0,1,1,2,2,7,6,4,4
6,6,6,1,1,1,1,6,6,6,6,5,4,2,6,6,6,6,5,5,6,6,6,6,6,7,7,7,6,6,6,31,69,49,1,20,2,0,1,5,6,6,7,5,6,5
4,4,3,4,3,3,4,5,5,5,5,4,4,5,7,6,7,7,4,4,4,2,3,2,1,4,2,4,5,5,5,33,70,48,1,21,2,1,0,5,5,5,7,4,4,5
1,5,4,6,3,4,6,6,3,2,1,6,5,4,7,7,5,7,6,4,5,2,6,5,7,6,5,3,6,3,7,32,68,50,2,19,2,1,0,6,4,2,6,4,6,3
3,2,2,5,4,5,5,1,1,1,1,5,4,3,6,6,6,7,3,4,4,3,2,2,2,5,5,6,2,2,1,29,65,48,2,20,2,1,0,4,5,3,4,1,2,6
4,5,4,1,1,1,1,5,6,5,6,2,1,1,5,5,6,5,6,6,6,2,3,1,1,7,7,5,6,5,5,33,70,50,1,34,3,1,1,7,6,7,7,5,5,5
4,4,5,4,5,5,3,5,5,6,7,2,5,7,5,3,5,6,6,6,7,4,7,4,5,5,6,7,4,5,2,32,68,49,1,18,2,1,1,5,6,6,7,3,5,5
3,3,4,1,1,4,1,5,5,4,4,1,1,1,5,4,4,2,5,5,5,6,3,4,3,6,5,7,5,5,6,29,67,50,1,19,2,0,1,4,4,6,4,5,4,5
5,5,5,4,4,4,5,6,4,3,5,5,5,1,5,5,5,5,5,4,4,3,3,2,5,4,5,3,5,5,5,32,69,50,1,26,3,0,0,5,5,5,3,1,1,1
5,5,4,3,3,5,6,2,1,2,2,4,1,1,3,5,3,3,5,3,5,3,3,3,5,5,6,7,5,5,6,30,66,49,2,19,2,0,0,2,5,3,5,2,6,7
2,2,1,3,4,3,5,5,3,3,4,2,3,3,6,6,7,5,5,4,5,5,6,5,4,5,6,5,5,5,4,29,68,48,2,21,2,0,1,1,5,2,1,3,4,4
4,4,4,4,4,4,4,5,5,6,6,1,1,1,7,5,5,1,7,6,6,2,1,2,4,6,6,7,7,7,7,29,69,49,1,22,2,1,1,5,5,5,6,3,2,6
3,4,4,5,5,7,5,3,3,3,4,6,6,3,7,7,7,6,3,4,4,5,5,3,2,7,7,6,6,5,3,29,66,48,1,30,4,0,0,2,4,3,2,3,6,6
6,6,4,2,2,2,2,5,5,6,6,3,2,3,7,7,6,5,5,5,6,3,5,1,2,6,6,5,5,5,5,30,68,49,2,22,2,1,1,6,4,3,7,2,3,5
5,3,4,2,1,5,6,5,4,4,5,4,1,1,6,5,6,5,5,4,4,3,5,3,5,7,7,7,6,6,6,30,68,49,2,21,2,1,0,5,3,4,6,2,7,7
1,1,1,2,3,2,2,1,1,1,1,2,2,2,7,7,7,7,3,3,4,7,4,4,6,7,7,7,1,3,1,28,64,47,2,52,3,1,0,4,4,4,4,4,4,4
6,7,7,6,2,6,2,6,6,6,6,1,1,1,6,6,6,2,6,5,6,6,6,6,6,6,6,6,2,6,2,31,67,48,2,60,3,0,0,2,2,2,2,6,6,6
3,2,3,2,3,2,2,5,3,5,5,3,3,2,7,7,6,3,4,4,5,2,3,1,1,7,7,5,6,5,5,30,68,48,2,21,2,0,1,5,3,3,2,3,5,5
2,2,2,2,2,3,4,3,2,3,3,3,2,2,5,6,4,2,3,4,4,5,6,2,2,5,7,6,5,5,5,29,65,48,2,21,2,0,1,4,5,2,1,5,6,5
4,3,3,2,3,3,4,5,5,5,5,2,2,1,6,3,3,4,5,5,5,3,5,3,3,6,7,4,7,7,7,32,70,49,2,20,2,1,0,6,4,4,7,1,1,5
7,5,4,3,2,3,2,5,5,6,6,2,1,2,7,5,5,3,5,5,5,5,5,2,2,6,5,5,5,6,4,30,69,50,1,21,2,1,1,5,4,6,7,6,5,6
4,4,4,2,5,3,5,6,5,5,6,2,3,1,7,7,5,5,4,4,4,1,1,2,2,7,6,5,5,5,6,32,69,49,1,21,2,1,1,6,4,3,7,5,7,4
4,4,4,1,1,1,1,6,4,5,5,4,5,3,3,5,5,2,4,4,5,2,3,1,1,5,5,4,5,5,5,33,68,49,2,25,3,0,1,2,5,5,4,6,6,4
4,4,3,3,3,3,3,5,5,5,5,3,2,2,5,5,5,5,4,5,4,5,5,3,4,6,6,6,5,4,4,32,67,49,2,25,5,1,1,6,5,5,6,5,5,5
3,2,2,3,3,5,4,2,2,2,2,3,3,3,5,5,6,5,3,3,3,4,5,4,4,5,4,7,5,4,4,31,68,48,2,20,2,1,1,5,4,5,5,3,5,5
3,3,3,1,2,5,5,6,6,6,5,1,1,1,7,7,7,6,5,3,4,1,7,1,1,7,7,7,6,5,4,31,69,49,2,21,2,0,0,5,4,5,7,1,2,7
3,1,1,2,2,2,2,2,2,2,2,3,3,3,5,5,5,7,4,4,4,2,2,2,2,7,7,7,4,4,5,29,65,47,1,28,3,0,1,2,4,3,2,4,3,3
4,4,4,2,4,4,4,4,1,2,4,5,2,2,7,6,7,5,5,5,5,6,3,2,6,7,7,7,6,5,5,34,67,48,2,23,6,0,0,3,3,4,3,1,5,4
2,2,2,2,2,6,6,3,3,2,3,3,2,2,7,7,7,2,3,2,2,1,1,1,2,7,7,7,6,3,3,30,68,48,1,18,2,0,1,2,1,2,5,2,1,2
1,1,1,3,3,4,5,7,6,6,6,1,1,1,7,7,7,6,6,6,6,6,5,4,4,7,7,7,6,6,6,29,66,47,1,20,2,0,1,1,5,4,1,1,1,5
4,4,4,3,6,5,7,2,1,1,1,6,6,4,7,7,7,4,4,4,3,7,4,7,7,7,7,7,7,7,7,29,64,47,1,22,1,0,0,1,6,1,7,2,7,7
4,3,3,3,1,3,4,3,4,3,4,1,1,1,7,4,6,3,5,4,5,5,4,2,3,7,7,6,5,4,4,29,69,50,2,21,3,1,0,6,4,5,6,1,1,2
2,2,2,7,7,7,7,1,2,5,1,5,5,2,7,7,7,7,3,5,5,6,6,2,2,7,7,7,2,2,2,32,69,48,2,25,3,1,0,6,3,3,6,6,6,7
3,2,2,6,4,6,4,2,2,2,2,3,2,2,5,6,7,4,3,3,3,4,6,3,6,6,6,7,6,5,6,29,65,48,1,19,2,0,0,3,3,4,3,1,5,4
2,2,2,4,5,5,4,5,5,5,5,3,3,2,6,5,5,3,6,6,6,5,2,2,5,3,6,6,7,6,5,28,68,48,2,20,2,0,0,2,5,5,1,1,2,2
4,1,1,4,3,5,5,5,4,3,5,5,3,3,7,7,7,4,4,5,5,3,5,3,3,7,7,5,7,7,5,31,70,49,2,21,2,1,0,5,4,3,6,1,1,1
1,1,1,4,5,5,5,1,4,4,2,6,1,1,6,6,7,7,1,1,1,6,6,1,1,7,7,7,1,1,1,28,68,48,2,48,3,0,0,1,6,1,1,4,4,5
5,4,4,5,4,3,3,3,3,4,4,5,3,1,7,6,7,6,4,4,4,3,5,3,3,7,7,4,5,5,3,31,68,48,1,22,2,0,1,3,5,4,4,7,5,5
2,2,2,1,1,1,1,6,6,5,4,4,1,1,7,4,5,4,6,6,6,1,5,1,1,5,5,2,4,4,4,32,70,50,2,50,3,0,1,3,4,4,3,2,2,2
2,2,2,2,2,2,2,5,5,5,4,2,2,2,5,5,5,2,5,5,5,5,5,3,2,7,7,7,3,3,2,31,66,48,2,53,3,0,0,1,2,1,2,2,2,2
6,1,1,5,2,2,3,5,5,5,5,1,1,1,6,6,6,6,7,7,7,6,1,1,1,7,7,7,7,7,7,28,64,47,1,26,6,0,1,1,3,3,2,3,7,7
4,4,4,3,3,5,5,5,5,4,4,5,1,1,6,3,4,6,4,4,4,3,4,1,2,7,7,7,6,6,5,29,68,48,2,21,2,1,1,6,3,5,7,3,3,3
1,1,1,3,3,6,3,1,1,2,1,1,1,1,6,1,2,1,4,4,3,2,2,1,3,6,7,7,5,5,7,30,65,48,2,22,2,0,0,1,3,1,1,1,5,5
4,4,4,5,5,5,4,4,5,5,5,3,2,4,5,5,5,4,5,5,5,5,5,5,5,5,5,6,4,4,4,31,68,49,2,54,6,1,1,4,5,5,5,4,3,3
3,1,1,2,3,3,4,3,2,4,3,2,1,1,5,4,4,6,6,6,6,3,2,2,3,7,6,5,2,4,6,29,68,48,1,21,2,0,1,1,4,2,3,5,6,7
1,1,1,6,4,7,4,1,1,1,2,4,3,1,7,7,7,4,3,2,1,3,3,3,1,7,7,7,5,4,3,28,68,47,2,22,2,0,0,3,4,2,3,1,1,1
4,4,4,3,3,3,3,4,5,5,5,1,1,1,4,5,5,5,5,5,5,4,4,2,5,5,5,5,6,4,4,31,69,49,2,18,2,1,1,6,6,4,6,6,5,7
1,1,1,5,7,7,4,1,1,1,1,1,1,1,7,4,4,3,6,4,2,7,2,5,3,7,7,7,1,1,1,31,67,48,1,21,2,0,1,1,4,1,1,1,7,4
3,2,2,6,6,6,6,2,1,2,2,6,5,5,7,7,7,7,4,3,3,7,5,4,4,6,5,6,5,6,4,31,65,49,4,22,2,1,0,2,1,2,2,6,5,5
4,4,4,3,2,3,2,5,5,5,6,1,1,1,4,4,4,4,6,6,6,4,4,4,4,7,6,6,5,5,4,31,67,49,2,18,2,1,0,5,5,5,7,5,4,4
5,5,5,1,1,2,2,6,6,6,6,1,1,1,7,7,7,7,5,5,5,6,5,5,5,7,7,7,2,3,3,28,69,50,1,52,6,1,1,5,5,5,5,5,5,5
5,4,4,4,7,7,3,2,2,1,4,3,4,3,7,7,7,4,3,4,5,7,6,5,1,7,7,6,2,5,4,31,69,49,1,20,2,0,0,1,5,1,1,1,2,7
6,6,5,2,2,2,2,6,6,6,6,1,1,1,7,7,7,6,6,6,6,2,2,2,5,5,6,6,5,5,5,32,68,49,2,24,3,1,1,5,5,5,6,6,6,6
2,2,2,3,3,5,4,2,2,2,2,3,3,3,3,4,2,2,4,4,4,4,3,2,3,3,4,4,3,3,3,34,70,49,1,21,2,0,1,1,2,2,2,2,2,2
4,4,4,2,4,2,2,5,4,3,3,5,4,2,6,7,7,5,5,4,4,5,3,3,5,7,7,7,5,4,5,30,65,48,2,20,2,0,0,4,6,6,2,1,1,2
1,1,1,5,5,5,5,1,1,1,1,5,5,2,1,5,6,5,5,4,5,1,6,1,1,7,7,7,1,1,1,29,65,48,2,21,3,0,0,1,2,2,5,1,7,7
6,6,6,1,1,1,1,4,4,4,3,5,1,1,5,5,5,3,5,5,5,1,1,1,1,6,6,1,5,5,5,33,70,50,2,27,3,0,0,4,6,5,1,1,1,6
1,2,2,3,4,5,2,5,5,3,2,5,2,2,5,5,5,4,5,5,3,3,5,4,3,5,6,2,5,5,5,33,70,50,2,43,3,0,1,3,5,2,2,5,5,3
3,3,3,4,4,4,4,5,5,5,5,1,1,3,7,7,7,7,7,7,7,1,1,1,1,7,7,7,5,5,5,29,70,49,1,57,6,1,0,7,7,5,7,1,1,1
4,4,4,2,2,2,2,6,6,6,6,1,1,1,2,7,7,6,7,6,7,1,5,1,2,6,6,2,2,7,5,33,69,50,1,22,2,1,0,6,6,5,6,1,5,5
5,5,5,4,4,4,4,5,5,5,5,1,1,1,5,4,4,4,5,5,5,5,5,4,4,5,5,6,6,6,6,30,70,48,1,21,2,1,1,6,6,6,6,4,4,4
4,3,3,5,1,1,1,4,4,4,4,5,5,1,5,3,5,4,4,5,4,5,4,4,5,5,7,7,5,5,5,30,66,48,2,40,6,1,1,5,5,6,6,6,6,5
4,4,4,1,1,1,1,7,7,7,7,2,2,1,6,6,6,3,7,7,7,1,5,1,2,4,2,1,7,7,7,31,69,50,1,23,2,0,0,5,4,5,5,1,1,1
2,3,2,4,3,4,2,3,3,4,3,3,1,1,5,3,6,6,5,5,5,6,6,4,5,6,6,5,3,3,3,29,68,49,2,21,2,1,0,5,5,5,5,1,6,6
2,2,2,2,5,2,2,2,3,4,3,3,2,3,2,4,2,2,4,3,4,4,3,3,2,1,7,7,1,4,3,28,64,47,1,65,6,0,1,1,1,2,1,1,2,2
4,4,2,1,2,1,1,6,6,7,7,1,1,1,6,5,5,6,6,7,5,3,7,5,4,7,6,7,7,6,7,30,70,48,1,21,2,0,1,3,5,5,6,5,2,5
1,1,2,3,1,3,5,1,3,3,5,5,2,1,6,7,7,7,6,6,6,7,2,5,5,7,7,7,5,6,3,29,68,47,1,22,2,1,0,6,6,5,7,3,6,2
3,2,3,4,6,6,6,3,3,2,1,5,4,4,4,5,4,5,4,3,5,3,5,3,4,2,6,3,3,5,3,28,66,49,2,21,2,0,0,5,5,4,5,3,5,4
3,2,1,5,5,5,3,3,1,1,2,5,3,1,3,5,5,5,3,3,3,5,4,4,4,6,5,6,4,3,4,30,66,48,2,21,2,0,1,4,5,5,4,5,5,3
3,3,4,4,3,3,2,6,4,4,4,5,2,1,5,6,5,5,4,3,3,3,3,3,4,6,6,7,5,5,6,29,69,49,1,21,2,1,0,2,3,4,6,2,5,4
1,1,1,7,7,7,7,1,1,1,1,1,1,1,7,7,7,1,7,1,7,1,7,1,6,7,7,7,5,5,5,28,64,47,4,53,3,0,0,1,7,1,1,1,5,7
6,6,6,1,2,2,4,4,4,5,5,1,1,1,6,7,7,5,5,5,5,3,3,3,4,6,6,7,5,5,4,29,68,48,2,45,6,1,1,6,6,6,6,6,6,6
3,3,3,5,3,3,3,4,4,4,4,2,2,2,5,7,7,6,4,4,4,6,4,1,1,5,5,6,4,4,4,31,67,49,1,20,2,0,0,4,4,4,4,3,3,3
3,3,3,1,1,1,1,5,6,6,6,5,2,2,5,2,5,4,5,5,6,1,5,1,2,7,7,6,5,5,5,30,68,48,2,29,3,1,1,3,3,3,3,5,5,5
5,4,4,3,3,3,4,4,4,4,4,4,3,3,7,7,7,7,5,5,5,3,3,3,3,7,7,5,5,5,5,32,68,49,1,25,3,1,1,5,4,5,4,3,4,4
4,4,4,4,4,4,4,7,5,5,6,1,1,1,5,4,7,5,7,7,4,1,2,2,1,7,7,6,6,6,6,29,70,50,1,57,3,1,0,5,4,5,7,1,1,3
3,3,3,4,4,4,4,5,5,3,4,1,1,1,7,5,7,7,5,5,5,2,1,1,2,5,7,7,4,4,2,30,66,49,2,22,2,1,1,7,5,5,7,6,7,7
4,5,3,3,3,4,3,3,7,5,4,3,3,4,7,6,4,5,5,3,4,6,6,4,5,5,7,7,4,4,3,30,64,49,2,21,2,0,1,7,6,4,7,1,1,3
4,2,2,4,5,5,5,1,1,2,3,4,5,5,6,6,6,6,4,4,3,4,4,4,4,7,6,3,4,4,1,32,68,50,2,20,2,0,1,1,1,1,1,4,4,5
3,1,1,2,2,1,1,4,3,2,2,2,3,1,7,5,4,4,3,1,1,5,4,1,1,7,7,7,3,4,1,30,69,49,2,21,2,0,0,6,6,6,1,1,1,4
5,5,5,5,5,5,4,4,4,4,4,3,3,3,5,5,5,5,4,5,4,5,5,5,5,5,5,5,4,4,4,29,65,48,2,59,6,0,0,2,2,1,1,4,5,5
3,3,2,2,2,2,3,5,4,5,5,5,2,1,7,5,7,5,5,6,6,3,3,2,1,5,5,6,5,5,5,32,68,48,2,33,3,1,1,6,5,5,7,5,5,3
2,2,2,5,5,5,4,5,5,4,4,4,4,4,7,7,7,7,7,4,5,1,3,1,1,6,7,6,4,4,4,29,65,48,1,21,2,1,0,1,3,4,1,4,4,4
1,1,1,7,7,7,7,1,1,1,1,1,1,1,7,4,5,7,1,1,1,7,7,5,7,7,7,7,7,7,7,29,64,47,2,23,2,0,0,1,1,1,1,3,1,6
4,4,4,1,1,1,1,5,5,5,5,1,1,1,5,5,4,2,5,5,5,3,4,5,5,3,3,3,5,5,5,33,69,50,1,66,6,0,1,4,4,4,4,5,3,5
2,2,2,3,3,3,3,2,6,2,7,3,3,3,2,2,3,3,3,4,4,3,4,4,4,6,4,3,1,2,2,30,68,50,2,21,2,0,1,6,2,5,2,2,3,3
5,5,5,4,1,1,7,4,1,4,4,4,4,1,4,4,4,3,4,4,3,4,4,4,4,4,4,4,7,5,4,30,64,47,1,20,3,1,0,5,7,7,5,1,3,4
2,3,3,4,3,3,3,7,5,3,2,7,5,3,7,5,3,2,7,3,4,7,6,5,2,7,3,2,4,4,5,32,65,48,2,21,2,0,1,1,3,3,2,1,1,1
5,5,5,4,4,4,4,5,5,5,6,1,1,1,7,7,7,7,4,5,6,5,1,1,5,7,7,4,4,4,4,31,67,49,2,21,3,1,0,4,4,5,5,4,5,5
1,1,1,3,2,5,4,4,5,3,4,1,1,1,5,7,7,5,5,5,5,1,5,1,1,4,5,5,6,6,6,30,68,49,2,20,2,0,0,2,2,4,1,1,3,3
1,1,4,1,1,2,3,3,2,4,4,4,3,3,3,2,1,4,4,3,3,4,3,3,2,4,5,4,5,5,6,30,69,47,4,78,4,0,0,1,1,2,1,1,1,1
2,2,2,4,4,6,4,3,4,4,3,6,2,1,6,6,5,5,4,5,5,4,2,2,2,6,6,6,4,4,4,29,68,49,1,21,1,0,1,2,6,4,6,2,6,2
3,4,4,4,4,4,5,5,5,5,4,3,2,1,5,5,5,4,4,4,4,3,5,1,1,5,5,4,5,5,5,29,68,48,2,22,2,0,0,5,4,4,1,3,3,4
2,2,2,5,5,5,4,5,5,5,5,1,1,1,5,5,6,5,5,5,5,5,2,2,5,6,6,6,5,5,5,28,65,48,2,50,3,1,0,5,5,5,5,2,2,2
4,4,4,5,4,4,4,3,3,4,4,2,2,2,6,5,5,4,5,3,5,3,3,2,2,5,5,5,5,5,5,29,69,49,2,55,3,0,1,3,3,3,2,5,5,4
3,3,2,4,5,5,5,5,5,5,5,2,2,2,7,7,7,7,5,5,5,5,7,5,5,4,7,7,6,6,5,32,67,50,2,52,3,0,0,5,4,3,2,7,7,7
4,5,6,1,1,1,1,7,7,7,7,5,3,4,7,7,7,7,5,5,7,4,3,4,5,7,7,5,6,6,6,31,69,49,1,21,2,1,1,5,5,7,7,3,5,6
1,1,1,3,3,3,3,4,4,3,3,3,1,1,6,7,6,6,6,6,2,2,3,2,2,6,6,5,5,5,5,31,67,48,1,23,3,0,0,1,1,1,1,1,1,4
3,4,4,2,1,2,2,7,7,7,6,1,1,1,6,2,5,2,6,7,7,2,2,3,1,6,6,2,7,7,7,33,70,49,1,18,2,0,1,3,6,6,4,7,7,4
3,3,1,2,2,2,2,7,7,7,7,1,1,7,3,7,7,3,7,7,7,5,5,2,3,7,7,5,7,7,7,34,70,51,1,42,6,0,0,1,1,1,1,1,1,1
3,3,3,4,5,5,5,3,4,4,5,5,1,1,7,5,7,7,5,4,4,7,6,4,5,5,6,5,5,5,5,29,68,49,2,21,2,1,0,2,4,4,5,1,7,6
1,1,1,3,1,3,4,4,4,4,4,3,1,1,5,7,5,3,5,2,5,7,4,4,3,6,5,7,2,3,3,33,70,49,2,51,3,1,0,5,5,6,7,1,5,7
1,1,1,5,5,5,6,7,3,3,2,2,2,2,6,6,6,6,4,4,4,3,5,3,2,5,6,6,5,6,6,29,69,48,2,22,2,0,0,1,1,1,1,2,6,6
7,7,7,1,1,1,1,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,34,67,49,2,54,1,1,1,7,7,7,7,7,7,7
4,4,3,2,2,5,5,4,5,5,3,5,5,5,5,7,7,7,4,5,5,5,3,2,2,6,6,7,4,5,5,32,70,48,1,24,3,0,1,5,4,3,5,5,6,5
2,1,1,4,5,6,6,1,2,2,2,4,1,1,5,5,5,5,5,5,4,4,5,4,5,5,7,7,5,5,5,28,64,47,1,21,2,0,0,2,2,2,2,1,6,6
4,4,4,2,2,2,3,6,6,6,6,6,6,2,5,4,4,2,5,6,6,1,3,1,1,6,6,4,4,4,4,33,69,50,1,20,2,0,1,5,5,6,7,6,5,4
4,4,4,2,1,1,1,6,6,5,6,1,1,1,5,5,5,4,6,4,5,2,5,2,3,4,5,3,7,7,7,32,70,49,2,23,1,1,0,5,5,5,7,1,1,5
2,2,2,2,2,3,3,5,3,3,3,3,4,4,4,3,4,3,4,4,4,4,4,3,3,4,4,4,4,4,4,31,67,49,1,24,2,0,0,3,4,5,3,3,3,2
5,7,5,4,5,6,4,3,3,3,4,5,3,5,7,6,7,5,4,3,4,5,5,3,3,4,7,7,5,4,6,29,69,48,2,22,2,1,0,3,4,5,7,3,7,5
1,1,1,5,5,7,7,2,4,2,4,1,1,1,7,7,7,7,3,4,4,2,5,3,2,7,7,7,5,5,5,29,66,48,2,56,3,0,0,1,1,1,1,1,1,1
2,1,1,6,4,7,4,1,3,2,2,1,1,1,5,7,7,6,6,7,7,4,3,3,2,7,7,7,5,6,6,29,68,47,2,18,2,1,0,7,3,5,7,1,1,7
2,2,2,4,5,6,4,2,2,2,2,2,1,1,7,7,7,7,6,5,5,3,2,3,5,7,7,6,6,6,6,30,69,49,1,20,2,0,1,2,4,2,3,2,7,7
5,2,4,1,1,1,2,5,4,5,5,2,1,1,6,5,5,4,5,6,6,4,1,1,1,7,6,5,6,5,5,28,67,48,1,27,3,1,1,7,4,7,7,5,5,3
3,3,3,4,2,2,6,6,5,5,4,2,1,1,5,5,6,6,5,5,5,2,2,1,1,6,5,7,7,7,7,34,70,49,1,26,3,0,0,1,1,1,1,4,3,4
7,5,5,2,1,1,1,5,5,5,6,1,1,1,4,7,7,4,6,5,5,4,3,2,5,5,5,6,5,5,4,29,65,48,2,21,2,1,1,5,6,5,7,6,6,6
5,5,5,4,4,5,6,6,6,5,5,5,4,5,5,7,7,6,5,5,6,7,7,6,6,6,6,7,5,4,5,31,66,48,1,21,3,0,0,3,4,1,5,5,6,7
5,3,4,4,5,5,5,5,5,5,5,2,2,1,5,5,5,5,4,5,5,5,2,2,2,5,5,5,5,5,4,30,68,49,2,21,2,1,0,3,4,5,6,3,3,5
5,6,6,1,1,1,6,6,6,5,6,1,1,1,6,1,6,6,6,6,6,6,6,1,1,6,6,1,6,6,6,32,69,50,2,24,2,0,1,6,6,6,5,6,6,6
5,4,4,2,2,2,3,5,5,5,4,2,2,1,6,7,7,5,5,5,5,1,1,1,1,5,5,4,5,4,4,32,70,49,1,25,3,1,0,5,5,5,5,4,7,5
2,2,2,2,4,4,4,1,3,3,3,5,5,4,5,6,6,4,4,4,4,3,2,1,1,5,6,7,3,2,2,28,68,48,2,20,3,1,1,4,5,4,5,2,5,6
4,4,4,1,1,1,1,4,5,4,5,4,1,1,7,6,5,7,5,4,4,1,1,1,1,7,5,5,4,4,4,31,67,48,1,18,6,1,0,7,4,3,6,3,2,1
4,5,4,3,2,2,1,7,7,4,6,1,1,1,6,5,3,5,6,4,5,3,4,2,4,6,6,4,6,6,6,32,69,50,2,24,3,1,1,5,5,5,5,4,3,3
